iter	Passed	Remaining
414	2787	3928
415	2793	3921
416	2799	3913
417	2805	3906
418	2811	3899
419	2817	3891
420	2823	3883
421	2829	3875
422	2835	3868
423	2842	3861
424	2848	3853
425	2854	3846
426	2860	3838
427	2866	3831
428	2873	3824
429	2879	3817
430	2885	3809
431	2891	3802
432	2897	3794
433	2903	3787
434	2909	3779
435	2915	3771
436	2921	3764
437	2927	3756
438	2934	3749
439	2940	3741
440	2945	3733
441	2951	3726
442	2957	3718
443	2963	3711
444	2969	3703
445	2975	3695
446	2981	3688
447	2987	3680
448	2993	3673
449	3000	3667
450	3007	3660
451	3013	3653
452	3019	3646
453	3025	3639
454	3031	3631
455	3037	3623
456	3043	3616
457	3050	3609
458	3056	3602
459	3062	3594
460	3068	3587
461	3074	3580
462	3081	3573
463	3087	3566
464	3093	3559
465	3099	3552
466	3105	3544
467	3111	3537
468	3118	3531
469	3124	3523
470	3130	3516
471	3137	3509
472	3143	3502
473	3149	3494
474	3155	3487
475	3161	3480
476	3168	3473
477	3174	3466
478	3181	3460
479	3187	3452
480	3193	3445
481	3199	3438
482	3205	3430
483	3210	3423
484	3216	3415
485	3222	3408
486	3228	3400
487	3234	3393
488	3240	3385
489	3245	3378
490	3251	3370
491	3257	3363
492	3264	3356
493	3270	3350
494	3278	3344
495	3284	3337
496	3291	3331
497	3297	3324
498	3304	3317
499	3310	3310
500	3316	3303
501	3323	3296
502	3329	3289
503	3336	3283
504	3342	3276
505	3349	3269
506	3355	3262
507	3361	3255
508	3367	3248
509	3373	3241
510	3381	3235
511	3387	3228
512	3392	3220
513	3398	3213
514	3404	3206
515	3411	3199
516	3417	3192
517	3422	3185
518	3430	3179
519	3436	3172
520	3443	3165
521	3449	3158
522	3455	3151
523	3461	3144
524	3468	3137
525	3474	3131
526	3481	3124
527	3488	3118
528	3494	3111
529	3500	3104
530	3506	3097
531	3512	3090
532	3518	3082
533	3524	3075
534	3530	3068
535	3535	3060
536	3541	3053
537	3547	3046
538	3553	3039
539	3559	3032
540	3566	3026
541	3574	3020
542	3581	3014
543	3588	3007
544	3594	3000
545	3600	2993
546	3606	2986
547	3612	2980
548	3619	2973
549	3626	2967
550	3632	2960
551	3638	2952
552	3644	2946
553	3651	2939
554	3657	2932
555	3663	2925
556	3669	2918
557	3676	2912
558	3682	2905
559	3688	2898
560	3694	2891
561	3700	2884
562	3707	2877
563	3713	2870
564	3720	2864
565	3726	2857
566	3733	2851
567	3740	2844
568	3747	2838
569	3753	2831
570	3760	2825
571	3766	2818
572	3773	2812
573	3780	2805
574	3787	2799
575	3794	2792
576	3800	2786
577	3806	2779
578	3813	2773
579	3820	2766
580	3827	2760
581	3833	2753
582	3839	2746
583	3845	2739
584	3852	2732
585	3858	2725
586	3864	2718
587	3869	2711
588	3876	2704
589	3882	2697
590	3888	2690
591	3894	2684
592	3900	2676
593	3906	2670
594	3912	2663
595	3919	2656
596	3925	2649
597	3931	2643
598	3937	2636
599	3943	2629
600	3949	2621
601	3955	2614
602	3960	2607
603	3966	2600
604	3972	2593
605	3978	2586
606	3984	2579
607	3990	2573
608	3997	2566
609	4003	2559
610	4010	2553
611	4016	2546
612	4022	2539
613	4027	2532
614	4033	2525
615	4040	2518
616	4046	2511
617	4052	2504
618	4058	2497
619	4064	2491
620	4071	2484
621	4077	2477
622	4083	2471
623	4089	2464
624	4095	2457
625	4102	2450
626	4107	2443
627	4113	2436
628	4119	2429
629	4125	2423
630	4131	2416
631	4137	2409
632	4143	2402
633	4150	2396
634	4157	2389
635	4163	2383
636	4169	2376
637	4175	2369
638	4181	2362
639	4187	2355
640	4193	2348
641	4200	2342
642	4206	2335
643	4212	2328
644	4217	2321
645	4224	2314
646	4230	2308
647	4236	2301
648	4243	2294
649	4249	2288
650	4255	2281
651	4261	2274
652	4267	2267
653	4273	2261
654	4279	2254
655	4285	2247
656	4293	2241
657	4299	2234
658	4306	2228
659	4313	2221
660	4319	2215
661	4325	2208
662	4331	2201
663	4337	2194
664	4343	2187
665	4349	2181
666	4355	2174
667	4360	2167
668	4368	2161
669	4374	2154
670	4381	2148
671	4388	2141
672	4394	2135
673	4400	2128
674	4406	2121
675	4412	2114
676	4418	2107
677	4424	2101
678	4430	2094
679	4436	2087
680	4442	2080
681	4448	2074
682	4454	2067
683	4461	2061
684	4467	2054
685	4474	2047
686	4480	2041
687	4486	2034
688	4492	2027
689	4498	2021
690	4504	2014
691	4510	2007
692	4515	2000
693	4522	1993
694	4528	1987
695	4534	1980
696	4541	1974
697	4547	1967
698	4555	1961
699	4562	1955
700	4568	1948
701	4575	1942
702	4582	1935
703	4589	1929
704	4596	1923
705	4602	1916
706	4608	1909
707	4614	1903
708	4620	1896
709	4626	1889
710	4632	1882
711	4638	1876
712	4645	1869
713	4651	1863
714	4658	1856
715	4664	1849
716	4669	1843
717	4675	1836
718	4681	1829
719	4687	1822
720	4694	1816
721	4700	1809
722	4706	1803
723	4712	1796
724	4718	1789
725	4725	1783
726	4731	1776
727	4737	1770
728	4743	1763
729	4749	1756
730	4755	1749
731	4761	1743
732	4767	1736
733	4772	1729
734	4778	1723
735	4784	1716
736	4791	1709
737	4797	1703
738	4803	1696
739	4809	1689
740	4816	1683
741	4822	1676
742	4829	1670
743	4836	1664
744	4842	1657
745	4849	1651
746	4855	1644
747	4862	1638
748	4868	1631
749	4875	1625
750	4881	1618
751	4888	1612
752	4896	1606
753	4903	1599
754	4910	1593
755	4917	1586
756	4923	1580
757	4930	1574
758	4937	1567
759	4943	1561
760	4949	1554
761	4955	1547
762	4961	1541
763	4968	1534
764	4975	1528
765	4981	1521
766	4987	1515
767	4993	1508
768	5000	1502
769	5006	1495
770	5011	1488
771	5017	1481
772	5023	1475
773	5030	1468
774	5035	1461
775	5041	1455
776	5047	1448
777	5053	1441
778	5059	1435
779	5065	1428
780	5071	1422
781	5077	1415
782	5083	1408
783	5089	1402
784	5095	1395
785	5101	1388
786	5108	1382
787	5114	1376
788	5121	1369
789	5127	1362
790	5133	1356
791	5139	1349
792	5146	1343
793	5153	1337
794	5160	1330
795	5167	1324
796	5173	1317
797	5179	1311
798	5185	1304
799	5191	1297
800	5197	1291
801	5203	1284
802	5209	1278
803	5216	1271
804	5222	1265
805	5228	1258
806	5235	1252
807	5241	1245
808	5248	1239
809	5254	1232
810	5260	1225
811	5266	1219
812	5272	1212
813	5279	1206
814	5285	1199
815	5290	1193
816	5296	1186
817	5303	1179
818	5310	1173
819	5316	1167
820	5323	1160
821	5329	1154
822	5335	1147
823	5341	1140
824	5347	1134
825	5354	1127
826	5361	1121
827	5367	1115
828	5373	1108
829	5379	1101
830	5385	1095
831	5392	1088
832	5398	1082
833	5404	1075
834	5410	1069
835	5416	1062
836	5423	1056
837	5429	1049
838	5435	1042
839	5441	1036
840	5446	1029
841	5452	1023
842	5458	1016
843	5465	1010
844	5471	1003
845	5477	997
846	5484	990
847	5489	984
848	5496	977
849	5502	970
850	5508	964
851	5514	957
852	5520	951
853	5526	944
854	5532	938
855	5539	931
856	5546	925
857	5553	919
858	5561	912
859	5568	906
860	5574	899
861	5581	893
862	5587	887
863	5594	880
864	5600	874
865	5607	867
866	5613	861
867	5621	854
868	5627	848
869	5634	841
870	5641	835
871	5648	829
872	5655	822
873	5661	816
874	5668	809
875	5675	803
876	5681	796
877	5688	790
878	5694	783
879	5701	777
880	5708	771
881	5715	764
882	5722	758
883	5729	751
884	5736	745
885	5743	738
886	5749	732
887	5758	726
888	5764	719
889	5771	713
890	5778	706
891	5785	700
892	5791	693
893	5797	687
894	5804	681
895	5811	674
896	5818	668
897	5825	661
898	5833	655
899	5840	648
900	5847	642
901	5853	636
902	5860	629
903	5867	623
904	5874	616
905	5880	610
906	5886	603
907	5891	596
908	5897	590
909	5903	583
910	5909	577
911	5915	570
912	5921	564
913	5928	557
914	5935	551
915	5942	544
916	5949	538
917	5955	531
918	5962	525
919	5968	518
920	5975	512
921	5982	506
922	5988	499
923	5995	493
924	6001	486
925	6008	480
926	6014	473
927	6021	467
928	6028	460
929	6036	454
930	6043	447
931	6049	441
932	6055	434
933	6061	428
934	6067	421
935	6073	415
936	6079	408
937	6085	402
938	6091	395
939	6096	389
940	6102	382
941	6109	376
942	6115	369
943	6122	363
944	6129	356
945	6135	350
946	6142	343
947	6148	337
948	6153	330
949	6160	324
950	6166	317
951	6172	311
952	6178	304
953	6185	298
954	6191	291
955	6198	285
956	6204	278
957	6210	272
958	6216	265
959	6222	259
960	6228	252
961	6234	246
962	6240	239
963	6246	233
964	6253	226
965	6260	220
966	6266	213
967	6272	207
968	6278	200
969	6283	194
970	6289	187
971	6295	181
972	6301	174
973	6308	168
974	6314	161
975	6320	155
976	6327	148
977	6334	142
978	6341	136
979	6347	129
980	6353	123
981	6359	116
982	6365	110
983	6371	103
984	6377	97
985	6383	90
986	6389	84
987	6395	77
988	6401	71
989	6408	64
990	6414	58
991	6420	51
992	6426	45
993	6431	38
994	6437	32
995	6443	25
996	6449	19
997	6455	12
998	6462	6
999	6468	0
