iter	Logloss
480	0.6366643855
481	0.6366434834
482	0.6366347889
483	0.6366244642
484	0.6366177882
485	0.6366095296
486	0.6365993266
487	0.6365834733
488	0.6365736654
489	0.6365638801
490	0.6365499685
491	0.636541048
492	0.6365261785
493	0.6365147737
494	0.6365028169
495	0.6364828109
496	0.6364669896
497	0.6364467795
498	0.6364335787
499	0.6364256955
500	0.6364101491
501	0.6364005015
502	0.636391185
503	0.6363783848
504	0.6363688861
505	0.636359779
506	0.6363450899
507	0.636335024
508	0.6363250581
509	0.6363183539
510	0.6363099971
511	0.6363026036
512	0.6362959757
513	0.6362889277
514	0.6362719505
515	0.6362595256
516	0.6362475706
517	0.6362409305
518	0.6362269138
519	0.6362218772
520	0.636212892
521	0.6361925626
522	0.6361744523
523	0.6361638563
524	0.6361501622
525	0.6361405281
526	0.6361258826
527	0.6361151706
528	0.6361008401
529	0.6360924863
530	0.6360869752
531	0.6360680731
532	0.6360570762
533	0.6360524734
534	0.636033952
535	0.6360178418
536	0.636002898
537	0.6359865042
538	0.635981231
539	0.6359648257
540	0.6359553981
541	0.6359530079
542	0.6359374646
543	0.6359219069
544	0.6359107352
545	0.6358879328
546	0.6358666825
547	0.6358546532
548	0.6358360074
549	0.6358263585
550	0.6358194098
551	0.6358141037
552	0.6358027391
553	0.635792657
554	0.6357823707
555	0.6357665843
556	0.6357575615
557	0.6357441845
558	0.6357334157
559	0.6357252
560	0.6357183855
561	0.635701862
562	0.6356943625
563	0.6356773237
564	0.6356659739
565	0.6356438817
566	0.6356326549
567	0.6356244858
568	0.6356129481
569	0.6356072052
570	0.6355948879
571	0.6355895647
572	0.6355779118
573	0.6355672708
574	0.6355574709
575	0.635536517
576	0.6355280663
577	0.6355174124
578	0.6355058305
579	0.6354948272
580	0.6354844559
581	0.6354593603
582	0.6354456363
583	0.6354322131
584	0.6354208023
585	0.6354044921
586	0.6353947292
587	0.6353839844
588	0.6353772452
589	0.6353701638
590	0.6353560615
591	0.6353415079
592	0.6353278905
593	0.6353186743
594	0.6353118821
595	0.6353012659
596	0.635294869
597	0.6352841113
598	0.6352762491
599	0.6352679914
600	0.6352598679
601	0.6352521102
602	0.6352401819
603	0.6352314255
604	0.6352200359
605	0.6352137448
606	0.6352067558
607	0.6351985424
608	0.6351932453
609	0.6351785557
610	0.6351686918
611	0.6351641991
612	0.6351526393
613	0.6351402971
614	0.6351168359
615	0.6351046352
616	0.6350980117
617	0.6350845274
618	0.6350747365
619	0.6350587241
620	0.6350524356
621	0.6350427493
622	0.6350379558
623	0.6350335873
624	0.635019782
625	0.6350072282
626	0.6349926942
627	0.6349739426
628	0.6349640586
629	0.634956159
630	0.6349394935
631	0.6349280831
632	0.6349186099
633	0.6349060928
634	0.6348947949
635	0.6348849261
636	0.6348701154
637	0.6348606385
638	0.6348568201
639	0.6348364342
640	0.6348294975
641	0.6348197847
642	0.6348133355
643	0.6348050479
644	0.6347902332
645	0.6347768001
646	0.6347645132
647	0.6347518092
648	0.6347422882
649	0.634735403
650	0.6347331128
651	0.6347230055
652	0.6347101204
653	0.6347047668
654	0.6346946846
655	0.6346751202
656	0.6346666131
657	0.6346563336
658	0.6346456698
659	0.6346371284
660	0.6346290289
661	0.6346184475
662	0.6346068668
663	0.6346019473
664	0.6345985686
665	0.6345929848
666	0.6345813126
667	0.6345754164
668	0.6345645319
669	0.6345514165
670	0.6345373909
671	0.6345282495
672	0.6345178506
673	0.6345106578
674	0.6345027175
675	0.6344938277
676	0.6344885433
677	0.6344797179
678	0.634475501
679	0.6344605097
680	0.6344505313
681	0.6344459745
682	0.6344345189
683	0.6344287601
684	0.6344197928
685	0.6344139684
686	0.6344039612
687	0.6343965943
688	0.6343874885
689	0.6343795349
690	0.6343739508
691	0.634364955
692	0.6343528097
693	0.634341554
694	0.6343288423
695	0.6343122207
696	0.6343018808
697	0.6342880508
698	0.6342816686
699	0.6342718492
700	0.6342693602
701	0.6342636678
702	0.6342581615
703	0.6342517013
704	0.6342386586
705	0.6342256496
706	0.6342101313
707	0.6342003465
708	0.6341906454
709	0.6341821506
710	0.6341769051
711	0.6341618
712	0.6341535682
713	0.6341451805
714	0.6341395368
715	0.6341295326
716	0.6341229777
717	0.6341062343
718	0.6340983773
719	0.6340842027
720	0.6340736372
721	0.634069219
722	0.634062658
723	0.6340459183
724	0.6340394216
725	0.6340260613
726	0.6340212101
727	0.6340087988
728	0.6339999739
729	0.6339941497
730	0.6339789927
731	0.6339722374
732	0.6339606407
733	0.6339560704
734	0.6339482608
735	0.6339417503
736	0.6339323003
737	0.6339268534
738	0.6339253246
739	0.6339198443
740	0.633900431
741	0.6338943795
742	0.6338821506
743	0.633874991
744	0.6338646541
745	0.6338531101
746	0.6338465322
747	0.6338346201
748	0.6338301365
749	0.6338237506
750	0.6338125602
751	0.6338079548
752	0.6338047434
753	0.6337968786
754	0.6337880082
755	0.633778456
756	0.6337639201
757	0.6337548969
758	0.6337373839
759	0.6337336637
760	0.6337254928
761	0.6337186204
762	0.6337099786
763	0.6337041923
764	0.6336961088
765	0.6336902614
766	0.6336872327
767	0.6336816513
768	0.6336714416
769	0.6336601011
770	0.6336462756
771	0.6336452335
772	0.6336396754
773	0.6336252748
774	0.6336212539
775	0.6336155561
776	0.6336053829
777	0.6335988179
778	0.6335926163
779	0.6335887397
780	0.6335802503
781	0.6335679165
782	0.633560897
783	0.6335543384
784	0.6335498543
785	0.6335436831
786	0.6335286954
787	0.6335226882
788	0.6335091247
789	0.6334982561
790	0.6334929785
791	0.6334775049
792	0.6334629248
793	0.6334563699
794	0.6334532557
795	0.63344181
796	0.6334284891
797	0.6334238315
798	0.633408926
799	0.6334003347
800	0.6333847677
801	0.6333727018
802	0.6333696426
803	0.6333643385
804	0.6333573556
805	0.6333495506
806	0.6333427552
807	0.6333341564
808	0.6333291208
809	0.6333231098
810	0.6333138779
811	0.6333071412
812	0.6333014031
813	0.6332906881
814	0.633282884
815	0.6332787988
816	0.6332725803
817	0.6332579156
818	0.6332528679
819	0.6332410434
820	0.6332371587
821	0.6332315222
822	0.6332216774
823	0.6332122036
824	0.633200586
825	0.6331915539
826	0.633184746
827	0.6331772013
828	0.633168798
829	0.6331511868
830	0.633145768
831	0.6331442236
832	0.6331368608
833	0.6331332023
834	0.6331286407
835	0.6331200068
836	0.6331066657
837	0.6330980886
838	0.6330925626
839	0.6330890942
840	0.6330871106
841	0.6330767159
842	0.6330662218
843	0.633057421
844	0.6330530305
845	0.633045354
846	0.6330387423
847	0.633037275
848	0.6330300621
849	0.6330237025
850	0.6330208779
851	0.6330173767
852	0.6330125064
853	0.6330023236
854	0.6329978369
855	0.6329871966
856	0.6329828719
857	0.6329748552
858	0.6329684257
859	0.6329651947
860	0.6329605868
861	0.6329532615
862	0.6329414015
863	0.6329328424
864	0.6329239208
865	0.6329200777
866	0.6329095296
867	0.6328995355
868	0.6328898601
869	0.6328848548
870	0.6328793604
871	0.6328694485
872	0.6328613507
873	0.6328541331
874	0.6328455171
875	0.6328372745
876	0.63283198
877	0.6328217368
878	0.6328133583
879	0.6328094197
880	0.6328063765
881	0.6327986998
882	0.6327961591
883	0.6327898473
884	0.6327844734
885	0.6327788946
886	0.6327759268
887	0.6327742355
888	0.6327672678
889	0.6327617677
890	0.6327506461
891	0.6327425291
892	0.6327338662
893	0.6327264051
894	0.6327210484
895	0.632711533
896	0.632706469
897	0.6327019877
898	0.6326952018
899	0.6326902911
900	0.6326855937
901	0.6326803676
902	0.632673876
903	0.6326698305
904	0.6326638163
905	0.6326618164
906	0.632655578
907	0.63264995
908	0.6326417504
909	0.6326370849
910	0.6326319461
911	0.632621451
912	0.6326189917
913	0.6326167781
914	0.6326092455
915	0.6326006418
916	0.6325952195
917	0.6325904776
918	0.6325823216
919	0.6325745676
920	0.6325678918
921	0.6325570416
922	0.6325521669
923	0.6325493314
924	0.6325415431
925	0.6325335559
926	0.6325299548
927	0.632522286
928	0.632515785
929	0.6325136034
930	0.6325111956
931	0.6325052375
932	0.6324975928
933	0.6324858572
934	0.6324774088
935	0.6324700573
936	0.6324646
937	0.6324627908
938	0.6324598367
939	0.6324544839
940	0.6324482978
941	0.6324411144
942	0.6324302656
943	0.6324253404
944	0.6324177495
945	0.6324094998
946	0.6324049933
947	0.6323952506
948	0.6323883199
949	0.6323739486
950	0.6323690002
951	0.632361897
952	0.6323599253
953	0.6323513717
954	0.6323447432
955	0.6323406843
956	0.6323365538
957	0.6323286301
958	0.6323232871
959	0.6323170744
960	0.6323131806
961	0.6323041483
962	0.6322976694
963	0.632292752
964	0.6322767152
965	0.6322709475
966	0.6322630802
967	0.6322533941
968	0.63224906
969	0.6322350188
970	0.6322294115
971	0.6322250462
972	0.6322192805
973	0.6322134064
974	0.6322097661
975	0.632206306
976	0.6322017701
977	0.6321980209
978	0.6321923025
979	0.6321843542
980	0.6321822746
981	0.6321805707
982	0.632172733
983	0.6321664547
984	0.632161192
985	0.6321561397
986	0.6321528329
987	0.6321499746
988	0.6321417302
989	0.6321346559
990	0.6321316268
991	0.6321267611
992	0.6321203277
993	0.632116642
994	0.6321106287
995	0.6320996681
996	0.632092205
997	0.6320819765
998	0.63207209
999	0.6320685351
